"Block","Профессии","Ключевые слова поиска (hh.ru)","Комментарий"
"1. Drama and Film Acting","Актёр / артист театра, Актёр массовых сцен, Ведущий (мероприятий / шоу), Модель, Контент‑креатор (видео, short‑form)","«актёр», «артист», «массовка», «актёр массовых сцен», «ведущий», «модель», «сценарист» (часто в связке с креативом), «контент‑креатор»","На hh.ru прямых вакансий мало, большая часть проходит через кастинги и агентства; важно смотреть не только на « актёр», но и на смежные роли энтертейнмента и ведущих."
"2. Global Digital Communications","Digital‑маркетолог, SMM‑менеджер, Performance‑маркетолог, Контент‑менеджер, Email/CRM‑маркетолог, PR‑менеджер (digital)","«digital‑маркетолог», «SMM‑менеджер», «SMM», «social media manager», «content‑manager», «контент‑менеджер», «performance маркетолог», «email‑маркетолог», «CRM‑маркетолог», «digital PR»","Один из самых «прямых» выходов в рынок; вакансий много, удобно смотреть, как меняется требования к образованию vs цифровым навыкам и портфолио."
"3. Design","Графический дизайнер, UX/UI‑дизайнер, Веб‑дизайнер, Motion‑дизайнер, Бренд‑дизайнер, Продуктовый дизайнер","«графический дизайнер», «graphic designer», «UI‑дизайнер», «UX‑дизайнер», «UX/UI‑дизайнер», «product designer», «продуктовый дизайнер», «motion‑дизайнер», «motion designer», «веб‑дизайнер», «бренд‑дизайнер»","Очень высокий спрос, портфолио критично; в требованиях часто подчёркивается наличие кейсов, а не только диплома."
"4. Journalism","Журналист, Редактор, Копирайтер, Контент‑редактор, Автор (медиа/блоги), Новостной редактор","«журналист», «редактор», «копирайтер», «content‑редактор», «контент‑редактор», «автор», «новостной редактор», «editor», «author»","Часто переходят в маркетинг/контент; часть профильных вакансий требует высшего образования, но в digital‑роли оно чаще «желательно» или не указано."
"5. Film and Television Production","Продюсер видео/контента, Линейный продюсер, Видео‑продакшн менеджер, Режиссёр монтажа (монтажёр), Видеооператор, Креативный продюсер","«продюсер видео», «продюсер контента», «линейный продюсер», «продюсер», «продакшн‑менеджер», «видео‑продакшн», «монтажёр», «режиссёр монтажа», «видеооператор», «видеограф»","Рынок — студии, агентства, YouTube/бренды; большая часть вакансий ориентируется на опыт работы, портфолио и проекты, а не только на диплом."
"6. Media Communications","Контент‑менеджер, SMM‑менеджер, Медиа‑менеджер, Редактор digital‑платформ, Продюсер контента, Специалист по коммуникациям","«контент‑менеджер», «SMM‑менеджер», «media manager», «медиа‑менеджер», «продюсер контента», «специалист по коммуникациям», «communication specialist»","Пересекается с маркетингом и журналистикой; в требованиях часто подчёркивается владение платформами и CRM‑системами, а не уровень образования."
"7. Fashion","Fashion‑дизайнер, Стилист, Байер (fashion buyer), Мерчендайзер, Бренд‑менеджер (fashion), Контент‑менеджер fashion‑бренда","«fashion‑дизайнер», «дизайнер моды», «стилист», «fashion stylist», «байер», «fashion buyer», «мерчендайзер», «бренд‑менеджер», «fashion‑бренд‑менеджер», «контент‑менеджер fashion»","Часто требуется прохождение стажировок, портфолио и показы работ; в ряде вакансий высшее образование «желательно» или не указано, особенно в брендах."
"8. Advertising and Public Relations","PR‑менеджер, Аккаунт‑менеджер (в агентстве), Маркетолог, Бренд‑менеджер, Специалист по рекламе, Event‑менеджер","«PR‑менеджер», «PR‑manager», «аккаунт‑менеджер», «account manager», «маркетолог», «бренд‑менеджер», «brand‑manager», «специалист по рекламе», «event‑менеджер»","Классическое направление с понятным рынком; в агентствах и маркетинговых сервисах требования к высшему образованию часто смягчаются при наличии опыта."
"9. Strategy and Production in Communications","Стратег (brand / communication strategist), Креативный стратег, Продюсер рекламных проектов, Project manager (маркетинг / digital), Аккаунт‑директор (с опытом)","«стратег по бренду», «бренд‑стратег», «communication strategist», «креативный стратег», «продюсер рекламных проектов», «project manager маркетинг», «digital project manager», «project‑менеджер», «аккаунт‑директор»","Это в основном «старшие» роли; для старта удобно смотреть junior‑позиции (project manager, account manager, координатор проектов), а затем отдельно анализировать senior‑стратегов."
"10. Management in Creative Industries","Project manager (digital / media / events), Product manager (особенно digital продукты), Продюсер (медиа, события, контент), Менеджер креативных проектов, Операционный менеджер в агентстве, Стартап‑менеджер","«project manager digital», «project manager media», «project manager events», «проджект‑менеджер», «product manager», «продукт‑менеджер», «продюсер media», «продюсер контента», «менеджер креативных проектов», «операционный менеджер», «стартап‑менеджер»","В этих ролях важны навыки управления проектами, коммуникации и креативности; формальное образование чаще компенсируется опытом и портфолио проектов."
"11. Digital Product & UX(дополнение)","UX‑дизайнер, UX/UI‑дизайнер, Продуктовый дизайнер, UX‑исследователь (UX‑researcher)","«UX‑дизайнер», «UX‑UI‑дизайнер», «product designer», «продуктовый дизайнер», «UX‑researcher», «UX research», «UX‑исследователь»","Современный цифровой креатив: спрос на UX‑роли растёт (по отчётам ВШЭ и survey‑аналитики, рост 60–70% 2024–2025). Эти профессии идеально показывают снижение значимости диплома при наличии кейсов и UX‑исследований."
